id,company,latitude,longitude,SIC,rev,norm_rev
811,Mutual of Omaha Insurance,41.203156,-96.133072,Insurance Carriers,6878000000,0.014162433517073
778,Live Nation Entertainment,34.07418,-118.398918,Other,6867000000,0.0141397835070864
646,Dick's Sporting Goods,40.507631,-80.265832,Miscellaneous Retail,6814000000,0.0140306516407873
722,Hilton Worldwide Holdings,38.928092,-77.215123,Other,6811000000,0.0140244743653364
841,Oshkosh,44,-88.56,Industrial/Commercial Machinery and Computer Equipment,6808000000,0.0140182970898855
99,Celanese,40.754111,-73.978338,Chemicals and Allied Products,6802000000,0.0140059425389838
905,Spirit AeroSystems Holdings,37.625893,-97.283968,Transportation Equipment,6799000000,0.0139997652635329
947,United Natural Foods,41.828899,-71.432116,Wholesale Trade Nondurable Goods,6794000000,0.0139894698044481
622,Commercial Metals,32.898282,-96.959945,Other,6790000000,0.0139812334371802
844,Owens-Illinois,41.528542,-83.647721,Other,6784000000,0.0139688788862784
647,Dillard's,34.754532,-92.28776,General Merchandise Stores,6780000000,0.0139606425190106
772,Level 3 Communications,39.921466,-105.14401,Communications,6777000000,0.0139544652435597
848,Pantry,35.731963,-78.804769,Other,6765000000,0.0139297561417561
779,LKQ,41.882219,-87.64053,Other,6740000000,0.013878278846332
851,Peabody Energy,38.626689,-90.192565,Other,6734000000,0.0138659242954303
917,Symantec,37.397036,-122.053938,Business Services,6676000000,0.0137464969700464
891,Ryder System,25.869526,-80.385218,Other,6639000000,0.0136703105728188
894,SanDisk,37.418874,-121.922147,Industrial/Commercial Machinery and Computer Equipment,6628000000,0.0136476605628322
846,Pacific Life,33.61961,-117.877457,Insurance Carriers,6624000000,0.0136394241955643
889,Rockwell Automation,43.018296,-87.913325,Other,6624000000,0.0136394241955643
587,Buckeye Partners,29.73227,-95.432432,Other,6620000000,0.0136311878282965
638,Dana Holding,41.567662,-83.693443,Transportation Equipment,6617000000,0.0136250105528456
768,Lansing Trade Group,38.929522,-94.688645,Wholesale Trade Nondurable Goods,6614000000,0.0136188332773947
816,NCR,33.962815,-84.115071,Industrial/Commercial Machinery and Computer Equipment,6591000000,0.0135714741656045
680,Expeditors International of Washington,47.605838,-122.334683,Other,6565000000,0.0135179377783635
531,Ally Financial,42.329585,-83.039529,Other,6529000000,0.0134438104729528
524,AK Steel Holding,39.328004,-84.429389,Other,6506000000,0.0133964513611626
896,Seaboard,39.008244,-94.690807,Other,6473000000,0.0133285013312029
826,NiSource,41.461457,-87.325707,Other,6471000000,0.0133243831475689
589,Cablevision Systems,40.761417,-73.495054,Communications,6461000000,0.0133037922293993
546,Anixter International,42.097089,-87.823587,Other,6446000000,0.0132729058521449
667,EMCOR Group,41.149419,-73.426847,Other,6425000000,0.0132296649239886
837,Omnicare,39.100226,-84.508905,Miscellaneous Retail,6418000000,0.0132152512812699
689,Fidelity National Information Services,30.318178,-81.676431,Business Services,6414000000,0.013207014914002
571,Barnes & Noble,40.738299,-73.992202,Miscellaneous Retail,6381000000,0.0131390648840422
755,KBR,29.753241,-95.372326,Other,6366000000,0.0131081785067878
559,Auto-Owners Insurance,42.721861,-84.638458,Insurance Carriers,6337000000,0.0130484648440959
564,Avery Dennison,34.157082,-118.256533,Other,6330000000,0.0130340512013771
817,NetApp,37.411261,-122.011902,Industrial/Commercial Machinery and Computer Equipment,6325000000,0.0130237557422923
735,iHeartMedia,29.492505,-98.479067,Communications,6319000000,0.0130114011913905
640,Darden Restaurants,28.418065,-81.424911,Other,6286000000,0.0129434511614307
