year,United States,Cuba,Panama,Canada,Hawaii,Puerto Rico,Philippines,Guam,France,Belgium,Bermuda,Colombia,Honduras,Italy,Mexico,Haiti,Myanmar,Antigua,China,South Africa,Dominican Republic,Guatemala,Netherlands,Spain,Venezuela,Morocco,West Germany,Germany,Alaska,Curaçao,Indonesia,United Kingdom,Singapore,Peru,Bahamas,Denmark,Switzerland,Australia,Austria,Guyana,Suriname,Jamaica,Luxembourg,Norway,Scotland,Virgin Islands,Trinidad,New Zealand,Ireland,Ecuador,El Salvador,Bolivia,Chile,Nicaragua,Argentina,Brazil,Costa Rica,Iceland,Uruguay,Aruba,Saint Lucia,Martinique,Barbados,Egypt,Japan,Liberia,Rhodesia,Guadeloupe,Kenya,Thailand,Tunisia,Algeria,Cyprus,Congo,India,Iraq,Lebanon,Mozambique,Zambia,Monaco,Kuwait,Malta,New Caledonia,Tanzania,Channel Islands,Isle of Man,Mauritius,Nigeria,Pakistan,Sweden,Madagascar,Malaysia,Saudi Arabia,Sudan,Aden,Uganda,Saint Kitts and Nevis,Ghana,Iran,Malawi,Finland,Iraq,Ivory Coast,Réunion,Senegal,Sierra Leone,Taiwan,Southwest Africa,Angola,Dominica,Burundi,Ethiopia,Grenada,South Vietnam,Ceylon,Qatar,Spanish Guinea,Bahrain,Belize,Dahomey,French Guiana,Libya,Saint Lucia,Tahiti,Swaziland,Cambodia,Cameroon,Montserrat,American Samoa,French Somaliland,Trucial States,Turkey,Bulgaria,Western Samoa,Gambia,Sarawak,Niger,Upper Volta,Togo,Papua New Guinea,Somali Republic,Somalia,Somaliland,South Korea,Israel,Saipan,Yugoslavia,Hungary,Saint Vincent and the Grenadines,Wales,Greece,Czechoslovakia,Czech Republic,Poland,Yemen,Soviet Union,Russia,Oman,United Arab Emirates,Romania,Jordan,Seychelles,Albania,Vietnam,"Palestinian Territory, Occupied",Benin,Namibia
1930,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,2,,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
